Name,PClass,Age,Sex,Survived,Family,Title
"Allen, Miss Elisabeth Walton",1,2,1,1,0,2
"Allison, Miss Helen Loraine",1,1,1,0,1,2
"Allison, Mr Hudson Joshua Creighton",1,2,0,0,1,2
"Allison, Mrs Hudson JC (Bessie Waldo Daniels)",1,2,1,0,1,2
"Allison, Master Hudson Trevor",1,1,0,1,1,2
"Andrews, Mr Thomas, jr",1,3,0,0,0,2
"Appleton, Mrs Edward Dale (Charlotte Lamson)",1,3,1,1,0,2
"Artagaveytia, Mr Ramon",1,4,0,0,0,2
"Astor, Colonel John Jacob",1,3,0,0,1,1
"Astor, Mrs John Jacob (Madeleine Talmadge Force)",1,2,1,1,1,2
"Aubert, Mrs Leontine Pauline",1,3,1,1,0,2
"Barkworth, Mr Algernon H",1,3,0,1,0,2
"Baumann, Mr John D",1,3,0,0,0,2
"Baxter, Mrs James (Helene DeLaudeniere Chaput)",1,3,1,1,1,2
"Baxter, Mr Quigg Edmond",1,2,0,0,1,2
"Beattie, Mr Thomson",1,3,0,0,0,2
"Beckwith, Mr Richard Leonard",1,3,0,1,1,2
"Beckwith, Mrs Richard Leonard (Sallie Monypeny)",1,3,1,1,1,2
"Behr, Mr Karl Howell",1,2,0,1,0,2
"Birnbaum, Mr Jakob",1,2,0,0,0,2
"Bishop, Mr Dickinson H",1,2,0,1,1,2
"Bishop, Mrs Dickinson H (Helen Walton)",1,2,1,1,1,2
"Bjornstrm-Steffansson, Mr Mauritz Hakan",1,2,0,1,0,2
"Blackwell, Mr Stephen Weart",1,3,0,0,0,2
"Blank, Mr Henry",1,3,0,1,0,2
"Bonnell, Miss Caroline",1,2,1,1,1,2
"Bonnell, Miss Elizabeth",1,3,1,1,1,2
"Borebank, Mr John James",1,3,0,0,0,2
"Bowen, Miss Grace Scott",1,3,1,1,0,2
"Bowerman, Miss Elsie Edith",1,2,1,1,0,2
"Bradley, Mr George",1,3,0,1,0,2
"Brady, Mr John Bertram",1,3,0,0,0,2
"Brandeis, Mr Emil",1,3,0,0,0,2
"Brewe, Dr Arthur Jackson",1,3,0,0,0,1
"Bucknell, Mrs William Robert (Emma Eliza Ward)",1,3,1,1,0,2
"Brown, Mrs James Joseph (Margaret Molly"" Tobin)""",1,3,1,1,0,2
"Butt, Major Archibald Willingham",1,3,0,0,0,1
"Calderhead, Mr Edward P",1,3,0,1,0,2
"Candee, Mrs Edward (Helen Churchill Hungerford)",1,3,1,1,0,2
"Cardeza, Mrs James Warburton Martinez (Charlotte Wardle Drake)",1,3,1,1,1,1
"Cardeza, Mr Thomas Drake Martinez",1,3,0,1,1,1
"Carlsson, Mr Frans Olof",1,3,0,0,0,2
"Carrau, Mr Francisco M",1,3,0,0,1,2
"Carrau, Mr Jose Pedro",1,3,0,0,1,2
"Carter, Mrs William Ernest (Lucile Polk)",1,3,1,1,1,2
"Carter, Miss Lucile Polk",1,1,1,1,1,2
"Carter, Master William T II",1,1,0,1,1,2
"Case, Mr Howard Brown",1,3,0,0,0,2
"Cassebeer, Mrs Henry Arthur jr (Genevieve Fosdick)",1,3,1,1,0,2
"Cavendish, Mr Tyrell William",1,3,0,0,1,2
"Cavendish, Mrs Tyrell William Julia Florence Siegel",1,2,1,1,1,2
"Chaffee, Mr Herbert Fuller",1,3,0,0,1,2
